id,name,alt,image,group,tags
1,France,Paris,GeoData/images/countries/France.png,country,europe
2,Japan,Tokyo,GeoData/images/countries/Japan.png,country,asia
3,Egypt,Cairo,GeoData/images/countries/Egypt.png,country,africa
4,Canada,Ottawa,GeoData/images/countries/Canada.png,country,north_america
5,Brazil,Brasilia,GeoData/images/countries/Brazil.png,country,south_america
6,India,New Delhi,GeoData/images/countries/India.png,country,asia
7,United Kingdom,London,GeoData/images/countries/United Kingdom.png,country,europe
8,United States,Washington,GeoData/images/countries/United States.png,country,north_america
