id,name,alt,image,group,tags
1,Mount Everest,Nepal,images/everest.jpg,mountain,asia
2,K2,Pakistan,images/k2.jpg,mountain,asia
3,Mount Kilimanjaro,Tanzania,images/kilimanjaro.jpg,mountain,africa
4,Mont Blanc,France,images/montblanc.jpg,mountain,europe
5,Denali,USA,images/denali.jpg,mountain,north_america
